"gene","rloop_density","rloop_rank","rloop_empirical_p","rloop_z"
"RGL2",18.44,188,0.00698521215724158,2.45802295741114
"INAFM1",18.41,189,0.0070223675410567,2.45611718414548
"TRMT2A",18.38,190,0.00705952292487181,2.45422028989128
"TREX1",18.32,191,0.00709667830868693,2.45233218553491
"EIF4EBP3",18.29,192,0.00713383369250204,2.4504527833209
"MIR6886",18.29,193,0.00717098907631716,2.44858199682429
"UBTF",18.23,194,0.00720814446013227,2.44671974092363
"EFEMP2",18.2,195,0.00724529984394739,2.44486593177469
"EGR3",18.18,196,0.0072824552277625,2.44302048678485
"MIR93",18.12,197,0.00731961061157762,2.44118332458812
"SLC34A3",18.12,198,0.00735676599539273,2.43935436502078
"VGF",18.11,199,0.00739392137920785,2.43753352909759
"HIST1H1B",18.04,200,0.00743107676302296,2.43572073898865
"ZNF687",18.04,201,0.00746823214683808,2.4339159179968
"TRMT61A",18.01,202,0.00750538753065319,2.43211899053558
"KRT19",17.99,203,0.00754254291446831,2.43032988210766
"GMPPB",17.97,204,0.00757969829828342,2.42854851928394
"C1ORF35",17.94,205,0.00761685368209854,2.42677482968297
"TMEM184A",17.92,206,0.00765400906591365,2.42500874195104
"MFSD3",17.9,207,0.00769116444972877,2.42325018574259
"SLC12A4",17.88,208,0.00772831983354388,2.42149909170121
"CISD3",17.75,209,0.007765475217359,2.41975539144098
"SNORA7A",17.73,210,0.00780263060117411,2.41801901752839
"RPS6KB2",17.71,211,0.00783978598498923,2.41628990346447
"AP1G2",17.62,212,0.00787694136880434,2.4145679836676
"CLDN4",17.58,213,0.00791409675261946,2.41285319345646
"DND1",17.56,214,0.00795125213643457,2.41114546903359
"MRPL12",17.52,215,0.00798840752024968,2.40944474746915
"TM7SF2",17.49,216,0.0080255629040648,2.40775096668521
"TRAF4",17.47,217,0.00806271828787991,2.40606406544024
"MIR4751",17.46,218,0.00809987367169503,2.4043839833141
"E4F1",17.41,219,0.00813702905551014,2.40271066069328
"CTRB2",17.37,220,0.00817418443932526,2.40104403875645
"MIR324",17.34,221,0.00821133982314037,2.39938405946041
"TSSK3",17.27,222,0.00824849520695549,2.39773066552633
"ISYNA1",17.25,223,0.0082856505907706,2.39608380042625
"MEPCE",17.23,224,0.00832280597458572,2.3944434083699
"IER3",17.2,225,0.00835996135840083,2.39280943429185
"ARL6IP4",17.18,226,0.00839711674221595,2.39118182383887
"DDX49",17.18,227,0.00843427212603106,2.38956052335766
"ZSWIM8-AS1",17.13,228,0.00847142750984618,2.38794547988271
"MIR4746",17.11,229,0.00850858289366129,2.38633664112455
"MIR6848",17.11,230,0.00854573827747641,2.38473395545818
"PRMT1",17.05,231,0.00858289366129152,2.38313737191178
"MIR6816",16.93,232,0.00862004904510664,2.38154684015565
"MIR7845",16.9,233,0.00865720442892175,2.37996231049138
"SH3BGRL3",16.89,234,0.00869435981273687,2.37838373384122
