"gene","top1cc_density","top1cc_rank","top1cc_empirical_p","top1cc_z"
"RNA5S2",1.79,367,0.0136360258601471,2.20760168308738
"RNU12",1.79,368,0.0136731812439623,2.20653785879319
"SNORD103A",1.79,369,0.0137103366277774,2.20547652584048
"SNORD104",1.79,370,0.0137474920115925,2.20441767139773
"BCL2L15",1.78,371,0.0137846473954076,2.20336128273427
"HIST1H2BN",1.78,372,0.0138218027792227,2.20230734721909
"MIR1229",1.78,373,0.0138589581630378,2.2012558523199
"MIR3121",1.78,374,0.0138961135468529,2.20020678560204
"MIR330",1.78,375,0.0139332689306681,2.19916013472749
"MIR6793",1.78,376,0.0139704243144832,2.19811588745382
"SNHG19",1.78,377,0.0140075796982983,2.19707403163324
"SNORA13",1.78,378,0.0140447350821134,2.19603455521159
"SNORA5C",1.78,379,0.0140818904659285,2.19499744622739
"SNORD49B",1.78,380,0.0141190458497436,2.19396269281088
"SNORD75",1.78,381,0.0141562012335587,2.19293028318307
"SNORD77",1.78,382,0.0141933566173739,2.19190020565481
"AP4B1",1.77,383,0.014230512001189,2.19087244862586
"BCAS2",1.77,384,0.0142676673850041,2.18984700058402
"CCND1",1.77,385,0.0143048227688192,2.18882385010418
"LINC01686",1.77,386,0.0143419781526343,2.18780298584749
"MIR150",1.77,387,0.0143791335364494,2.18678439656044
"MIR375",1.77,388,0.0144162889202645,2.18576807107404
"MIR4729",1.77,389,0.0144534443040797,2.18475399830292
"MIR4774",1.77,390,0.0144905996878948,2.18374216724453
"MIR548W",1.77,391,0.0145277550717099,2.18273256697831
"RNU5B-1",1.77,392,0.014564910455525,2.18172518666484
"RNU5D-1",1.77,393,0.0146020658393401,2.18072001554504
"GNG3",1.76,394,0.0146392212231552,2.17971704293939
"GSTM1",1.76,395,0.0146763766069704,2.17871625824714
"JMJD1C-AS1",1.76,396,0.0147135319907855,2.17771765094549
"MIR141",1.76,397,0.0147506873746006,2.17672121058888
"MIR2110",1.76,398,0.0147878427584157,2.17572692680819
"MIR4691",1.76,399,0.0148249981422308,2.17473478930998
"NHP2",1.76,400,0.0148621535260459,2.17374478787579
"OPN1MW",1.76,401,0.014899308909861,2.17275691236138
"POLR2J3",1.76,402,0.0149364642936762,2.171771152696
"ADAMTS9-AS2",1.75,403,0.0149736196774913,2.1707874988817
"GATA3",1.75,404,0.0150107750613064,2.1698059409926
"HIST1H4F",1.75,405,0.0150479304451215,2.16882646917421
"MIR3681",1.75,406,0.0150850858289366,2.16784907364273
"MIR6756",1.75,407,0.0151222412127517,2.16687374468437
"NPIPB15",1.75,408,0.0151593965965668,2.16590047265469
"OPN1MW3",1.75,409,0.015196551980382,2.16492924797793
"SNORD70",1.75,410,0.0152337073641971,2.16396006114632
"TBX2-AS1",1.75,411,0.0152708627480122,2.1629929027195
"TRAF4",1.75,412,0.0153080181318273,2.16202776332382
"EGR3",1.74,413,0.0153451735156424,2.16106463365173
"FAM84B",1.74,414,0.0153823288994575,2.16010350446116
"HP",1.74,415,0.0154194842832726,2.15914436657489
"KRTAP5-8",1.74,416,0.0154566396670878,2.15818721087993
"LOC100507670",1.74,417,0.0154937950509029,2.15723202832696
"MIR23A",1.74,418,0.015530950434718,2.15627880992968
"MIR4266",1.74,419,0.0155681058185331,2.15532754676424
"MIR451A",1.74,420,0.0156052612023482,2.15437822996867
"MIR451B",1.74,421,0.0156424165861633,2.15343085074231
"MIR4690",1.74,422,0.0156795719699785,2.1524854003452
"MIR7844",1.74,423,0.0157167273537936,2.15154187009757
"MIR8058",1.74,424,0.0157538827376087,2.15060025137922
"SNORD115-23",1.74,425,0.0157910381214238,2.14966053562906
"SPATA2L",1.74,426,0.0158281935052389,2.14872271434447
"C2ORF78",1.73,427,0.015865348889054,2.14778677908082
"FAM231C",1.73,428,0.0159025042728691,2.14685272145095
"LOC400553",1.73,429,0.0159396596566843,2.14592053312461
"MIR7113",1.73,430,0.0159768150404994,2.14499020582793
"PPM1E",1.73,431,0.0160139704243145,2.14406173134298
"PSMD6-AS2",1.73,432,0.0160511258081296,2.14313510150717
"PTMA",1.73,433,0.0160882811919447,2.14221030821281
"PVT1",1.73,434,0.0161254365757598,2.14128734340662
"RPL41",1.73,435,0.0161625919595749,2.14036619908919
"SPDYE6",1.73,436,0.0161997473433901,2.13944686731453
"HES4",1.72,437,0.0162369027272052,2.13852934018959
"MIR2115",1.72,438,0.0162740581110203,2.13761360987379
"MIR422A",1.72,439,0.0163112134948354,2.13669966857854
"MIR4277",1.72,440,0.0163483688786505,2.13578750856677
"MIR654",1.72,441,0.0163855242624656,2.1348771221525
"MIR6754",1.72,442,0.0164226796462807,2.13396850170036
"MIR6840",1.72,443,0.0164598350300959,2.13306163962515
"MIR7108",1.72,444,0.016496990413911,2.13215652839141
"NBPF6",1.72,445,0.0165341457977261,2.13125316051297
"NPIPB11",1.72,446,0.0165713011815412,2.13035152855253
"PFDN4",1.72,447,0.0166084565653563,2.1294516251212
"RASA4",1.72,448,0.0166456119491714,2.12855344287812
"RASA4B",1.72,449,0.0166827673329865,2.12765697453
"SNORD3A",1.72,450,0.0167199227168017,2.12676221283075
"SSR4P1",1.72,451,0.0167570781006168,2.12586915058103
"WASH3P",1.72,452,0.0167942334844319,2.12497778062785
