"gene","top1cc_density"
"ARHGAP18",1.12
"ARHGAP19",1.19
"ARHGAP19-SLIT1",1.2
"ARHGAP20",1.1
"ARHGAP21",1.2
"ARHGAP22",1.19
"ARHGAP23",1.16
"ARHGAP24",1.13
"ARHGAP25",1.14
"ARHGAP26",1.21
"ARHGAP26-AS1",1.18
"ARHGAP26-IT1",1.11
"ARHGAP27",1.18
"ARHGAP27P1",1.18
"ARHGAP27P1-BPTFP1-KPNA2P3",1.28
"ARHGAP28",1.17
"ARHGAP29",1.08
"ARHGAP30",1.19
"ARHGAP31",1.21
"ARHGAP31-AS1",1.19
"ARHGAP32",1.11
"ARHGAP33",1.24
"ARHGAP35",1.2
"ARHGAP36",1.18
"ARHGAP39",1.21
"ARHGAP4",1.17
"ARHGAP40",1.22
"ARHGAP42",1.1
"ARHGAP44",1.15
"ARHGAP45",1.17
"ARHGAP5",1.2
"ARHGAP5-AS1",1.38
"ARHGAP6",1.1
"ARHGAP8",1.22
"ARHGAP9",1.17
"ARHGDIA",1.24
"ARHGDIB",1.11
"ARHGDIG",1.25
"ARHGEF1",1.19
"ARHGEF10",1.15
"ARHGEF10L",1.15
"ARHGEF11",1.23
"ARHGEF12",1.1
"ARHGEF15",1.12
"ARHGEF16",1.17
"ARHGEF17",1.28
"ARHGEF18",1.16
"ARHGEF19",1.17
"ARHGEF2",1.22
"ARHGEF25",1.07
"ARHGEF26",1.24
"ARHGEF26-AS1",1.24
"ARHGEF28",1.16
"ARHGEF3",1.13
"ARHGEF3-AS1",1.15
"ARHGEF33",1.27
"ARHGEF34P",1.32
"ARHGEF35",1.41
"ARHGEF37",1.16
"ARHGEF38",1.17
"ARHGEF38-IT1",1.21
"ARHGEF39",1.3
"ARHGEF4",1.19
"ARHGEF40",1.26
"ARHGEF5",1.34
"ARHGEF6",1.17
"ARHGEF7",1.13
"ARHGEF7-AS1",1.15
"ARHGEF7-AS2",1.18
"ARHGEF9",1.11
"ARHGEF9-IT1",0.98
"ARID1A",1.19
"ARID1B",1.13
"ARID2",1.17
"ARID3A",1.2
"ARID3B",1.24
"ARID3C",1.11
"ARID4A",1.19
"ARID4B",1.21
"ARID5A",1.29
"ARID5B",1.18
"ARIH1",1.21
"ARIH2",1.22
"ARIH2OS",1.56
"ARL1",1.15
"ARL10",1.19
"ARL11",1.12
"ARL13A",1.12
"ARL13B",1.13
"ARL14",1.19
"ARL14EP",1.23
"ARL14EPL",1.16
"ARL15",1.14
"ARL16",1.17
"ARL17A",1.15
"ARL17B",1.46
"ARL2",1.31
"ARL2-SNX15",1.27
"ARL2BP",1.2
"ARL3",1.25
"ARL4A",1.24
"ARL4C",1.1
"ARL4D",1.28
"ARL5A",1.14
"ARL5B",1.22
"ARL5C",1.18
"ARL6",1.1
"ARL6IP1",1.38
"ARL6IP4",1.38
"ARL6IP5",1.19
"ARL6IP6",1.12
"ARL8A",1.61
"ARL8B",1.29
"ARL9",1.09
"ARMC1",1.19
"ARMC10",1.21
"ARMC12",1.26
"ARMC2",1.19
"ARMC2-AS1",1.17
"ARMC3",1.16
"ARMC4",1.18
"ARMC4P1",1.22
"ARMC5",1.25
"ARMC6",1.2
"ARMC7",1.3
"ARMC8",1.21
